state,stage,date,students
Terengganu,secondary,1/1/2020,91970
Terengganu,secondary,1/1/2021,94978
Terengganu,secondary,1/1/2022,97169
Terengganu,tertiary,1/1/2018,6695
Terengganu,tertiary,1/1/2019,6420
Terengganu,tertiary,1/1/2020,3445
Terengganu,tertiary,1/1/2021,3134
Terengganu,tertiary,1/1/2022,3405
Kuala Lumpur,primary,1/1/2017,126729
Kuala Lumpur,primary,1/1/2018,127633
Kuala Lumpur,primary,1/1/2019,130276
Kuala Lumpur,primary,1/1/2020,131465
Kuala Lumpur,primary,1/1/2021,133248
Kuala Lumpur,primary,1/1/2022,133531
Kuala Lumpur,secondary,1/1/2017,92648
Kuala Lumpur,secondary,1/1/2018,86265
Kuala Lumpur,secondary,1/1/2019,84761
Kuala Lumpur,secondary,1/1/2020,84940
Kuala Lumpur,secondary,1/1/2021,86009
Kuala Lumpur,secondary,1/1/2022,86197
Kuala Lumpur,tertiary,1/1/2018,3106
Kuala Lumpur,tertiary,1/1/2019,3101
Kuala Lumpur,tertiary,1/1/2020,1864
Kuala Lumpur,tertiary,1/1/2021,1598
Kuala Lumpur,tertiary,1/1/2022,1737
Labuan,primary,1/1/2017,8769
Labuan,primary,1/1/2018,9065
Labuan,primary,1/1/2019,9393
Labuan,primary,1/1/2020,9703
Labuan,primary,1/1/2021,9864
Labuan,primary,1/1/2022,9925
Labuan,secondary,1/1/2017,6479
Labuan,secondary,1/1/2018,5710
Labuan,secondary,1/1/2019,5765
Labuan,secondary,1/1/2020,5973
Labuan,secondary,1/1/2021,6317
Labuan,secondary,1/1/2022,6821
Labuan,tertiary,1/1/2018,613
Labuan,tertiary,1/1/2019,607
Labuan,tertiary,1/1/2020,303
Labuan,tertiary,1/1/2021,232
Labuan,tertiary,1/1/2022,281
Putrajaya,primary,1/1/2017,15097
Putrajaya,primary,1/1/2018,16990
Putrajaya,primary,1/1/2019,18586
Putrajaya,primary,1/1/2020,20123
Putrajaya,primary,1/1/2021,21590
Putrajaya,primary,1/1/2022,22503
Putrajaya,secondary,1/1/2017,7787
Putrajaya,secondary,1/1/2018,7828
Putrajaya,secondary,1/1/2019,8465
Putrajaya,secondary,1/1/2020,9209
Putrajaya,secondary,1/1/2021,10334
Putrajaya,secondary,1/1/2022,11436
Putrajaya,tertiary,1/1/2018,175
Putrajaya,tertiary,1/1/2019,258
Putrajaya,tertiary,1/1/2020,161
Putrajaya,tertiary,1/1/2021,130
Putrajaya,tertiary,1/1/2022,139
